"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "forward.trim"
"1" "276.013" 47303 47299 46785 46785 "100"
"2" "276.014" 70332 70323 69479 69479 "100"
"3" "276.015" 79524 79513 78986 78986 "100"
"4" "276.016" 97218 97204 96244 96244 "100"
"5" "276.017" 67351 67337 66712 66712 "100"
"6" "276.049" 27095 27091 27027 27027 "100"
"7" "276.050" 41699 41687 41537 41537 "100"
"8" "276.051" 93721 93703 93335 93335 "100"
"9" "276.052" 20294 20286 20199 20199 "100"
"10" "276.053" 53914 53898 53759 53759 "100"
"11" "276.205" 19110 19108 18968 18968 "100"
"12" "276.206" 14088 14084 13959 13959 "100"
"13" "276.207" 16156 16154 15959 15959 "100"
"14" "276.208" 15836 15834 15715 15715 "100"
"15" "276.209" 39463 39453 39180 39180 "100"
"16" "276.013" 47303 47288 46768 46768 "110"
"17" "276.014" 70332 70287 69364 69364 "110"
"18" "276.015" 79524 79499 78866 78866 "110"
"19" "276.016" 97218 97167 96084 96084 "110"
"20" "276.017" 67351 67319 66611 66611 "110"
"21" "276.049" 27095 27063 26936 26936 "110"
"22" "276.050" 41699 41671 41412 41412 "110"
"23" "276.051" 93721 93640 93173 93173 "110"
"24" "276.052" 20294 20261 20151 20151 "110"
"25" "276.053" 53914 53859 53668 53668 "110"
"26" "276.205" 19110 19101 18932 18932 "110"
"27" "276.206" 14088 14081 13871 13871 "110"
"28" "276.207" 16156 16150 15923 15923 "110"
"29" "276.208" 15836 15829 15689 15689 "110"
"30" "276.209" 39463 39446 39126 39126 "110"
"31" "276.013" 47303 47260 46637 46637 "120"
"32" "276.014" 70332 70217 69275 69275 "120"
"33" "276.015" 79524 79453 78704 78704 "120"
"34" "276.016" 97218 97053 95847 95847 "120"
"35" "276.017" 67351 67280 66227 66227 "120"
"36" "276.049" 27095 27012 26857 26857 "120"
"37" "276.050" 41699 41634 41365 41365 "120"
"38" "276.051" 93721 93530 93015 93015 "120"
"39" "276.052" 20294 20221 20103 20103 "120"
"40" "276.053" 53914 53757 53485 53485 "120"
"41" "276.205" 19110 19095 18868 18868 "120"
"42" "276.206" 14088 14076 13907 13907 "120"
"43" "276.207" 16156 16142 15889 15889 "120"
"44" "276.208" 15836 15820 15632 15632 "120"
"45" "276.209" 39463 39425 39018 39018 "120"
"46" "276.013" 47303 47181 46428 46428 "130"
"47" "276.014" 70332 70050 69024 69024 "130"
"48" "276.015" 79524 79319 78462 78462 "130"
"49" "276.016" 97218 96777 95650 95650 "130"
"50" "276.017" 67351 67097 66045 66045 "130"
"51" "276.049" 27095 26856 26675 26675 "130"
"52" "276.050" 41699 41504 41257 41257 "130"
"53" "276.051" 93721 93194 92697 92697 "130"
"54" "276.052" 20294 20066 19943 19943 "130"
"55" "276.053" 53914 53461 53068 53068 "130"
"56" "276.205" 19110 19052 18787 18787 "130"
"57" "276.206" 14088 14048 13811 13811 "130"
"58" "276.207" 16156 16115 15831 15831 "130"
"59" "276.208" 15836 15793 15592 15592 "130"
"60" "276.209" 39463 39371 39017 39017 "130"
"61" "276.013" 47303 47010 46308 46308 "140"
"62" "276.014" 70332 69697 68555 68555 "140"
"63" "276.015" 79524 79049 78235 78235 "140"
"64" "276.016" 97218 96267 95089 95089 "140"
"65" "276.017" 67351 66710 65516 65516 "140"
"66" "276.049" 27095 26548 26364 26364 "140"
"67" "276.050" 41699 41252 41027 41027 "140"
"68" "276.051" 93721 92466 92070 92070 "140"
"69" "276.052" 20294 19849 19679 19679 "140"
"70" "276.053" 53914 52896 52425 52425 "140"
"71" "276.205" 19110 18986 18678 18678 "140"
"72" "276.206" 14088 14003 13794 13794 "140"
"73" "276.207" 16156 16043 15766 15766 "140"
"74" "276.208" 15836 15743 15513 15513 "140"
"75" "276.209" 39463 39247 38836 38836 "140"
"76" "276.013" 47303 46767 46086 46086 "150"
"77" "276.014" 70332 69292 68263 68263 "150"
"78" "276.015" 79524 78651 77827 77827 "150"
"79" "276.016" 97218 95633 94470 94470 "150"
"80" "276.017" 67351 66171 65057 65057 "150"
"81" "276.049" 27095 26199 26040 26040 "150"
"82" "276.050" 41699 40915 40574 40574 "150"
"83" "276.051" 93721 91578 91206 91206 "150"
"84" "276.052" 20294 19563 19405 19405 "150"
"85" "276.053" 53914 52244 51867 51867 "150"
"86" "276.205" 19110 18859 18602 18602 "150"
"87" "276.206" 14088 13931 13722 13722 "150"
"88" "276.207" 16156 15973 15738 15738 "150"
"89" "276.208" 15836 15670 15454 15454 "150"
"90" "276.209" 39463 39097 38696 38696 "150"
"91" "276.013" 47303 46324 45576 45576 "160"
"92" "276.014" 70332 68584 67535 67535 "160"
"93" "276.015" 79524 77956 77261 77261 "160"
"94" "276.016" 97218 94616 93471 93471 "160"
"95" "276.017" 67351 65319 64423 64423 "160"
"96" "276.049" 27095 25626 25501 25501 "160"
"97" "276.050" 41699 40366 40107 40107 "160"
"98" "276.051" 93721 90155 89821 89821 "160"
"99" "276.052" 20294 19175 19084 19084 "160"
"100" "276.053" 53914 51285 51080 51080 "160"
"101" "276.205" 19110 18631 18383 18383 "160"
"102" "276.206" 14088 13814 13601 13601 "160"
"103" "276.207" 16156 15818 15567 15567 "160"
"104" "276.208" 15836 15535 15335 15335 "160"
"105" "276.209" 39463 38814 38414 38414 "160"
"106" "276.013" 47303 45888 45052 45052 "170"
"107" "276.014" 70332 67923 66832 66832 "170"
"108" "276.015" 79524 77219 76457 76457 "170"
"109" "276.016" 97218 93529 92241 92241 "170"
"110" "276.017" 67351 64528 63635 63635 "170"
"111" "276.049" 27095 25162 25034 25034 "170"
"112" "276.050" 41699 39769 39486 39486 "170"
"113" "276.051" 93721 88730 88394 88394 "170"
"114" "276.052" 20294 18800 18714 18714 "170"
"115" "276.053" 53914 50341 50118 50118 "170"
"116" "276.205" 19110 18401 18191 18191 "170"
"117" "276.206" 14088 13683 13485 13485 "170"
"118" "276.207" 16156 15662 15427 15427 "170"
"119" "276.208" 15836 15392 15144 15144 "170"
"120" "276.209" 39463 38492 38240 38240 "170"
"121" "276.013" 47303 45481 44577 44577 "180"
"122" "276.014" 70332 67215 65997 65997 "180"
"123" "276.015" 79524 76564 75689 75689 "180"
"124" "276.016" 97218 92491 91041 91041 "180"
"125" "276.017" 67351 63785 62844 62844 "180"
"126" "276.049" 27095 24498 24351 24351 "180"
"127" "276.050" 41699 39091 38766 38766 "180"
"128" "276.051" 93721 86934 86556 86556 "180"
"129" "276.052" 20294 18379 18282 18282 "180"
"130" "276.053" 53914 49186 48862 48862 "180"
"131" "276.205" 19110 18195 18006 18006 "180"
"132" "276.206" 14088 13550 13334 13334 "180"
"133" "276.207" 16156 15516 15283 15283 "180"
"134" "276.208" 15836 15261 15004 15004 "180"
"135" "276.209" 39463 38203 37859 37859 "180"
"136" "276.013" 47303 44971 43969 43969 "190"
"137" "276.014" 70332 66320 65144 65144 "190"
"138" "276.015" 79524 75715 74784 74784 "190"
"139" "276.016" 97218 91261 89816 89816 "190"
"140" "276.017" 67351 62806 61732 61732 "190"
"141" "276.049" 27095 23747 23534 23534 "190"
"142" "276.050" 41699 38183 37923 37923 "190"
"143" "276.051" 93721 84763 84017 84017 "190"
"144" "276.052" 20294 17848 17745 17745 "190"
"145" "276.053" 53914 47856 47477 47477 "190"
"146" "276.205" 19110 17887 17650 17650 "190"
"147" "276.206" 14088 13372 13155 13155 "190"
"148" "276.207" 16156 15299 15046 15046 "190"
"149" "276.208" 15836 15068 14798 14798 "190"
"150" "276.209" 39463 37775 37364 37364 "190"
"151" "276.013" 47303 44094 43127 43127 "200"
"152" "276.014" 70332 65282 63992 63992 "200"
"153" "276.015" 79524 74498 73524 73524 "200"
"154" "276.016" 97218 89365 87784 87784 "200"
"155" "276.017" 67351 61709 60529 60529 "200"
"156" "276.049" 27095 23048 22885 22885 "200"
"157" "276.050" 41699 37299 37020 37020 "200"
"158" "276.051" 93721 82554 82211 82211 "200"
"159" "276.052" 20294 17341 17205 17205 "200"
"160" "276.053" 53914 46593 46207 46207 "200"
"161" "276.205" 19110 17583 17353 17353 "200"
"162" "276.206" 14088 13183 12966 12966 "200"
"163" "276.207" 16156 15081 14788 14788 "200"
"164" "276.208" 15836 14873 14598 14598 "200"
"165" "276.209" 39463 37357 36925 36925 "200"
"166" "276.013" 47303 47302 47141 47141 "50"
"167" "276.014" 70332 70329 69885 69885 "50"
"168" "276.015" 79524 79521 79343 79343 "50"
"169" "276.016" 97218 97212 96813 96813 "50"
"170" "276.017" 67351 67343 67065 67065 "50"
"171" "276.049" 27095 27095 27004 27004 "50"
"172" "276.050" 41699 41699 41675 41675 "50"
"173" "276.051" 93721 93719 93613 93613 "50"
"174" "276.052" 20294 20294 20266 20266 "50"
"175" "276.053" 53914 53912 53874 53874 "50"
"176" "276.205" 19110 19109 19068 19068 "50"
"177" "276.206" 14088 14086 14033 14033 "50"
"178" "276.207" 16156 16155 16113 16113 "50"
"179" "276.208" 15836 15835 15799 15799 "50"
"180" "276.209" 39463 39456 39425 39425 "50"
"181" "276.013" 47303 47302 47013 47013 "60"
"182" "276.014" 70332 70329 69898 69898 "60"
"183" "276.015" 79524 79521 79150 79150 "60"
"184" "276.016" 97218 97211 96384 96384 "60"
"185" "276.017" 67351 67343 66992 66992 "60"
"186" "276.049" 27095 27095 26903 26903 "60"
"187" "276.050" 41699 41699 41657 41657 "60"
"188" "276.051" 93721 93719 93555 93555 "60"
"189" "276.052" 20294 20294 20242 20242 "60"
"190" "276.053" 53914 53912 53850 53850 "60"
"191" "276.205" 19110 19109 19028 19028 "60"
"192" "276.206" 14088 14086 13947 13947 "60"
"193" "276.207" 16156 16155 16073 16073 "60"
"194" "276.208" 15836 15835 15795 15795 "60"
"195" "276.209" 39463 39456 39291 39291 "60"
"196" "276.013" 47303 47302 47041 47041 "70"
"197" "276.014" 70332 70329 69883 69883 "70"
"198" "276.015" 79524 79521 79041 79041 "70"
"199" "276.016" 97218 97211 96496 96496 "70"
"200" "276.017" 67351 67343 66851 66851 "70"
"201" "276.049" 27095 27094 26957 26957 "70"
"202" "276.050" 41699 41699 41628 41628 "70"
"203" "276.051" 93721 93717 93501 93501 "70"
"204" "276.052" 20294 20294 20244 20244 "70"
"205" "276.053" 53914 53912 53720 53720 "70"
"206" "276.205" 19110 19109 19030 19030 "70"
"207" "276.206" 14088 14086 13940 13940 "70"
"208" "276.207" 16156 16155 16070 16070 "70"
"209" "276.208" 15836 15835 15777 15777 "70"
"210" "276.209" 39463 39456 39236 39236 "70"
"211" "276.013" 47303 47302 46855 46855 "80"
"212" "276.014" 70332 70329 69747 69747 "80"
"213" "276.015" 79524 79521 78994 78994 "80"
"214" "276.016" 97218 97211 96573 96573 "80"
"215" "276.017" 67351 67343 66811 66811 "80"
"216" "276.049" 27095 27094 26892 26892 "80"
"217" "276.050" 41699 41699 41613 41613 "80"
"218" "276.051" 93721 93717 93327 93327 "80"
"219" "276.052" 20294 20293 20189 20189 "80"
"220" "276.053" 53914 53912 53849 53849 "80"
"221" "276.205" 19110 19109 18951 18951 "80"
"222" "276.206" 14088 14086 13899 13899 "80"
"223" "276.207" 16156 16155 16034 16034 "80"
"224" "276.208" 15836 15835 15683 15683 "80"
"225" "276.209" 39463 39456 39152 39152 "80"
"226" "276.013" 47303 47302 46836 46836 "90"
"227" "276.014" 70332 70326 69672 69672 "90"
"228" "276.015" 79524 79519 79086 79086 "90"
"229" "276.016" 97218 97209 96504 96504 "90"
"230" "276.017" 67351 67342 66668 66668 "90"
"231" "276.049" 27095 27094 27064 27064 "90"
"232" "276.050" 41699 41697 41568 41568 "90"
"233" "276.051" 93721 93714 93481 93481 "90"
"234" "276.052" 20294 20291 20189 20189 "90"
"235" "276.053" 53914 53910 53740 53740 "90"
"236" "276.205" 19110 19109 18969 18969 "90"
"237" "276.206" 14088 14086 13971 13971 "90"
"238" "276.207" 16156 16155 15995 15995 "90"
"239" "276.208" 15836 15834 15686 15686 "90"
"240" "276.209" 39463 39454 39191 39191 "90"
