"samplename" "richness" "simpson"
"276.013" "100" "369" "35.67097"
"276.014" "100" "410" "67.19069"
"276.015" "100" "331" "31.60255"
"276.016" "100" "448" "57.59869"
"276.017" "100" "364" "69.08902"
"276.013" "110" "365" "35.10822"
"276.014" "110" "419" "68.33473"
"276.015" "110" "334" "31.22079"
"276.016" "110" "454" "59.05541"
"276.017" "110" "373" "67.46393"
"276.013" "120" "417" "36.60838"
"276.014" "120" "462" "70.00696"
"276.015" "120" "370" "39.96416"
"276.016" "120" "469" "61.14504"
"276.017" "120" "400" "70.94503"
"276.013" "130" "419" "36.49035"
"276.014" "130" "465" "71.34600"
"276.015" "130" "370" "38.89405"
"276.016" "130" "479" "61.91633"
"276.017" "130" "408" "70.81178"
"276.013" "140" "425" "35.89563"
"276.014" "140" "477" "70.74142"
"276.015" "140" "376" "40.19907"
"276.016" "140" "495" "61.91220"
"276.017" "140" "418" "73.17874"
"276.013" "150" "437" "36.03551"
"276.014" "150" "473" "72.38333"
"276.015" "150" "366" "41.16083"
"276.016" "150" "487" "61.92559"
"276.017" "150" "410" "72.50481"
"276.013" "160" "435" "36.47247"
"276.014" "160" "466" "72.52196"
"276.015" "160" "363" "41.17770"
"276.016" "160" "488" "62.96516"
"276.017" "160" "417" "72.85517"
"276.013" "170" "428" "35.13451"
"276.014" "170" "465" "73.96077"
"276.015" "170" "363" "41.67792"
"276.016" "170" "493" "63.98036"
"276.017" "170" "418" "72.95521"
"276.013" "180" "412" "36.58529"
"276.014" "180" "459" "74.07881"
"276.015" "180" "360" "41.69372"
"276.016" "180" "468" "64.60547"
"276.017" "180" "408" "73.26788"
"276.013" "190" "404" "37.96045"
"276.014" "190" "452" "73.66509"
"276.015" "190" "354" "40.95988"
"276.016" "190" "473" "65.09635"
"276.017" "190" "400" "75.36605"
"276.013" "200" "400" "37.03411"
"276.014" "200" "460" "73.64628"
"276.015" "200" "345" "41.25257"
"276.016" "200" "471" "63.49022"
"276.017" "200" "404" "76.57100"
"276.013" "50" " 89" "14.39259"
"276.014" "50" "105" "24.78149"
"276.015" "50" " 94" "14.49243"
"276.016" "50" "112" "19.06192"
"276.017" "50" "103" "17.10348"
"276.013" "60" "177" "22.42334"
"276.014" "60" "224" "46.61419"
"276.015" "60" "177" "22.94699"
"276.016" "60" "228" "40.90457"
"276.017" "60" "198" "37.98901"
"276.013" "70" "265" "27.77455"
"276.014" "70" "319" "59.31012"
"276.015" "70" "256" "26.71120"
"276.016" "70" "347" "47.53366"
"276.017" "70" "281" "46.67758"
"276.013" "80" "314" "29.60689"
"276.014" "80" "364" "62.71647"
"276.015" "80" "287" "27.01863"
"276.016" "80" "399" "52.51368"
"276.017" "80" "323" "49.71647"
"276.013" "90" "338" "31.03281"
"276.014" "90" "392" "63.98956"
"276.015" "90" "306" "27.74824"
"276.016" "90" "416" "55.92300"
"276.017" "90" "344" "63.69990"
