"samplename" "BrayR" "BrayP" "SorensenR" "SorensenP"
"1" "100" "0.652862331559952" "0.01" "0.691296727814666" "0.01"
"2" "110" "0.64965450025941" "0.009" "0.68838819405394" "0.01"
"3" "120" "0.642730626590688" "0.003" "0.666492011597718" "0.012"
"4" "130" "0.64271382984503" "0.004" "0.666881533977704" "0.011"
"5" "140" "0.639247692913884" "0.004" "0.664295299787499" "0.014"
"6" "150" "0.64283896924377" "0.007" "0.654404078893442" "0.013"
"7" "160" "0.64187698813032" "0.007" "0.655524923309946" "0.013"
"8" "170" "0.640372271082117" "0.007" "0.653933986240728" "0.015"
"9" "180" "0.635839317894286" "0.004" "0.664592919434503" "0.016"
"10" "190" "0.637207437865235" "0.004" "0.653684370219059" "0.016"
"11" "200" "0.631503613366747" "0.004" "0.65096692358808" "0.015"
"12" "50" "0.75706578738289" "0.013" "0.757202764366465" "0.008"
"13" "60" "0.702715680497473" "0.009" "0.716340819363191" "0.005"
"14" "70" "0.69039210990549" "0.009" "0.707919623221335" "0.003"
"15" "80" "0.680695351016192" "0.007" "0.694808732592041" "0.009"
"16" "90" "0.64741650398357" "0.011" "0.694133254903202" "0.01"
