"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "Non.chimeric.Reads" "forward.trim"
"1" "276.013" 47303 47299 46785 46785 45201 "100"
"2" "276.014" 70332 70323 69479 69479 65689 "100"
"3" "276.015" 79524 79513 78986 78986 75317 "100"
"4" "276.016" 97218 97204 96244 96244 91874 "100"
"5" "276.017" 67351 67337 66712 66712 64513 "100"
"6" "276.049" 27095 27091 27027 27027 26133 "100"
"7" "276.050" 41699 41687 41537 41537 37427 "100"
"8" "276.051" 93721 93703 93335 93335 84251 "100"
"9" "276.052" 20294 20286 20199 20199 19704 "100"
"10" "276.053" 53914 53898 53759 53759 49560 "100"
"11" "276.205" 19110 19108 18968 18968 18740 "100"
"12" "276.206" 14088 14084 13959 13959 13477 "100"
"13" "276.207" 16156 16154 15959 15959 15563 "100"
"14" "276.208" 15836 15834 15715 15715 15604 "100"
"15" "276.209" 39463 39453 39180 39180 37690 "100"
"16" "276.013" 47303 47288 46768 46768 44920 "110"
"17" "276.014" 70332 70287 69364 69364 65684 "110"
"18" "276.015" 79524 79499 78866 78866 75308 "110"
"19" "276.016" 97218 97167 96084 96084 92303 "110"
"20" "276.017" 67351 67319 66611 66611 64519 "110"
"21" "276.049" 27095 27063 26936 26936 25976 "110"
"22" "276.050" 41699 41671 41412 41412 37348 "110"
"23" "276.051" 93721 93640 93173 93173 84067 "110"
"24" "276.052" 20294 20261 20151 20151 19672 "110"
"25" "276.053" 53914 53859 53668 53668 49326 "110"
"26" "276.205" 19110 19101 18932 18932 18709 "110"
"27" "276.206" 14088 14081 13871 13871 13392 "110"
"28" "276.207" 16156 16150 15923 15923 15517 "110"
"29" "276.208" 15836 15829 15689 15689 15577 "110"
"30" "276.209" 39463 39446 39126 39126 37697 "110"
"31" "276.013" 47303 47260 46637 46637 45427 "120"
"32" "276.014" 70332 70217 69275 69275 66235 "120"
"33" "276.015" 79524 79453 78704 78704 75507 "120"
"34" "276.016" 97218 97053 95847 95847 91963 "120"
"35" "276.017" 67351 67280 66227 66227 63919 "120"
"36" "276.049" 27095 27012 26857 26857 25714 "120"
"37" "276.050" 41699 41634 41365 41365 37100 "120"
"38" "276.051" 93721 93530 93015 93015 82891 "120"
"39" "276.052" 20294 20221 20103 20103 19534 "120"
"40" "276.053" 53914 53757 53485 53485 48498 "120"
"41" "276.205" 19110 19095 18868 18868 18508 "120"
"42" "276.206" 14088 14076 13907 13907 13446 "120"
"43" "276.207" 16156 16142 15889 15889 15452 "120"
"44" "276.208" 15836 15820 15632 15632 15317 "120"
"45" "276.209" 39463 39425 39018 39018 37268 "120"
"46" "276.013" 47303 47181 46428 46428 45337 "130"
"47" "276.014" 70332 70050 69024 69024 65460 "130"
"48" "276.015" 79524 79319 78462 78462 74888 "130"
"49" "276.016" 97218 96777 95650 95650 91764 "130"
"50" "276.017" 67351 67097 66045 66045 63507 "130"
"51" "276.049" 27095 26856 26675 26675 25518 "130"
"52" "276.050" 41699 41504 41257 41257 36955 "130"
"53" "276.051" 93721 93194 92697 92697 82731 "130"
"54" "276.052" 20294 20066 19943 19943 19377 "130"
"55" "276.053" 53914 53461 53068 53068 48056 "130"
"56" "276.205" 19110 19052 18787 18787 18455 "130"
"57" "276.206" 14088 14048 13811 13811 13500 "130"
"58" "276.207" 16156 16115 15831 15831 15376 "130"
"59" "276.208" 15836 15793 15592 15592 15402 "130"
"60" "276.209" 39463 39371 39017 39017 37283 "130"
"61" "276.013" 47303 47010 46308 46308 45269 "140"
"62" "276.014" 70332 69697 68555 68555 65341 "140"
"63" "276.015" 79524 79049 78235 78235 74951 "140"
"64" "276.016" 97218 96267 95089 95089 91486 "140"
"65" "276.017" 67351 66710 65516 65516 63457 "140"
"66" "276.049" 27095 26548 26364 26364 25183 "140"
"67" "276.050" 41699 41252 41027 41027 36740 "140"
"68" "276.051" 93721 92466 92070 92070 81936 "140"
"69" "276.052" 20294 19849 19679 19679 19108 "140"
"70" "276.053" 53914 52896 52425 52425 47469 "140"
"71" "276.205" 19110 18986 18678 18678 18329 "140"
"72" "276.206" 14088 14003 13794 13794 13297 "140"
"73" "276.207" 16156 16043 15766 15766 15192 "140"
"74" "276.208" 15836 15743 15513 15513 15212 "140"
"75" "276.209" 39463 39247 38836 38836 36112 "140"
"76" "276.013" 47303 46767 46086 46086 45055 "150"
"77" "276.014" 70332 69292 68263 68263 64923 "150"
"78" "276.015" 79524 78651 77827 77827 74563 "150"
"79" "276.016" 97218 95633 94470 94470 90877 "150"
"80" "276.017" 67351 66171 65057 65057 63232 "150"
"81" "276.049" 27095 26199 26040 26040 24730 "150"
"82" "276.050" 41699 40915 40574 40574 36417 "150"
"83" "276.051" 93721 91578 91206 91206 81212 "150"
"84" "276.052" 20294 19563 19405 19405 18841 "150"
"85" "276.053" 53914 52244 51867 51867 46918 "150"
"86" "276.205" 19110 18859 18602 18602 18306 "150"
"87" "276.206" 14088 13931 13722 13722 13218 "150"
"88" "276.207" 16156 15973 15738 15738 15194 "150"
"89" "276.208" 15836 15670 15454 15454 15124 "150"
"90" "276.209" 39463 39097 38696 38696 35985 "150"
"91" "276.013" 47303 46324 45576 45576 44625 "160"
"92" "276.014" 70332 68584 67535 67535 64340 "160"
"93" "276.015" 79524 77956 77261 77261 73822 "160"
"94" "276.016" 97218 94616 93471 93471 90088 "160"
"95" "276.017" 67351 65319 64423 64423 62418 "160"
"96" "276.049" 27095 25626 25501 25501 24216 "160"
"97" "276.050" 41699 40366 40107 40107 36013 "160"
"98" "276.051" 93721 90155 89821 89821 79928 "160"
"99" "276.052" 20294 19175 19084 19084 18521 "160"
"100" "276.053" 53914 51285 51080 51080 46194 "160"
"101" "276.205" 19110 18631 18383 18383 18087 "160"
"102" "276.206" 14088 13814 13601 13601 13108 "160"
"103" "276.207" 16156 15818 15567 15567 15002 "160"
"104" "276.208" 15836 15535 15335 15335 15009 "160"
"105" "276.209" 39463 38814 38414 38414 35695 "160"
"106" "276.013" 47303 45888 45052 45052 44109 "170"
"107" "276.014" 70332 67923 66832 66832 63760 "170"
"108" "276.015" 79524 77219 76457 76457 73049 "170"
"109" "276.016" 97218 93529 92241 92241 88892 "170"
"110" "276.017" 67351 64528 63635 63635 61738 "170"
"111" "276.049" 27095 25162 25034 25034 23830 "170"
"112" "276.050" 41699 39769 39486 39486 35464 "170"
"113" "276.051" 93721 88730 88394 88394 78872 "170"
"114" "276.052" 20294 18800 18714 18714 18164 "170"
"115" "276.053" 53914 50341 50118 50118 45321 "170"
"116" "276.205" 19110 18401 18191 18191 17887 "170"
"117" "276.206" 14088 13683 13485 13485 12984 "170"
"118" "276.207" 16156 15662 15427 15427 14869 "170"
"119" "276.208" 15836 15392 15144 15144 14840 "170"
"120" "276.209" 39463 38492 38240 38240 35514 "170"
"121" "276.013" 47303 45481 44577 44577 42669 "180"
"122" "276.014" 70332 67215 65997 65997 61750 "180"
"123" "276.015" 79524 76564 75689 75689 70738 "180"
"124" "276.016" 97218 92491 91041 91041 86043 "180"
"125" "276.017" 67351 63785 62844 62844 59867 "180"
"126" "276.049" 27095 24498 24351 24351 22817 "180"
"127" "276.050" 41699 39091 38766 38766 34432 "180"
"128" "276.051" 93721 86934 86556 86556 75228 "180"
"129" "276.052" 20294 18379 18282 18282 17591 "180"
"130" "276.053" 53914 49186 48862 48862 42966 "180"
"131" "276.205" 19110 18195 18006 18006 17671 "180"
"132" "276.206" 14088 13550 13334 13334 12873 "180"
"133" "276.207" 16156 15516 15283 15283 14645 "180"
"134" "276.208" 15836 15261 15004 15004 14603 "180"
"135" "276.209" 39463 38203 37859 37859 34611 "180"
"136" "276.013" 47303 44971 43969 43969 41216 "190"
"137" "276.014" 70332 66320 65144 65144 60105 "190"
"138" "276.015" 79524 75715 74784 74784 69072 "190"
"139" "276.016" 97218 91261 89816 89816 83725 "190"
"140" "276.017" 67351 62806 61732 61732 58839 "190"
"141" "276.049" 27095 23747 23534 23534 22018 "190"
"142" "276.050" 41699 38183 37923 37923 33648 "190"
"143" "276.051" 93721 84763 84017 84017 72543 "190"
"144" "276.052" 20294 17848 17745 17745 17070 "190"
"145" "276.053" 53914 47856 47477 47477 41382 "190"
"146" "276.205" 19110 17887 17650 17650 17365 "190"
"147" "276.206" 14088 13372 13155 13155 12519 "190"
"148" "276.207" 16156 15299 15046 15046 14287 "190"
"149" "276.208" 15836 15068 14798 14798 14225 "190"
"150" "276.209" 39463 37775 37364 37364 34085 "190"
"151" "276.013" 47303 44094 43127 43127 40900 "200"
"152" "276.014" 70332 65282 63992 63992 59131 "200"
"153" "276.015" 79524 74498 73524 73524 68095 "200"
"154" "276.016" 97218 89365 87784 87784 81930 "200"
"155" "276.017" 67351 61709 60529 60529 57534 "200"
"156" "276.049" 27095 23048 22885 22885 21287 "200"
"157" "276.050" 41699 37299 37020 37020 32809 "200"
"158" "276.051" 93721 82554 82211 82211 70915 "200"
"159" "276.052" 20294 17341 17205 17205 16545 "200"
"160" "276.053" 53914 46593 46207 46207 40156 "200"
"161" "276.205" 19110 17583 17353 17353 17045 "200"
"162" "276.206" 14088 13183 12966 12966 12481 "200"
"163" "276.207" 16156 15081 14788 14788 14180 "200"
"164" "276.208" 15836 14873 14598 14598 14173 "200"
"165" "276.209" 39463 37357 36925 36925 33743 "200"
"166" "276.013" 47303 47302 47141 47141 42471 "50"
"167" "276.014" 70332 70329 69885 69885 60670 "50"
"168" "276.015" 79524 79521 79343 79343 72363 "50"
"169" "276.016" 97218 97212 96813 96813 87151 "50"
"170" "276.017" 67351 67343 67065 67065 58347 "50"
"171" "276.049" 27095 27095 27004 27004 26558 "50"
"172" "276.050" 41699 41699 41675 41675 41079 "50"
"173" "276.051" 93721 93719 93613 93613 91211 "50"
"174" "276.052" 20294 20294 20266 20266 19638 "50"
"175" "276.053" 53914 53912 53874 53874 52694 "50"
"176" "276.205" 19110 19109 19068 19068 18250 "50"
"177" "276.206" 14088 14086 14033 14033 13378 "50"
"178" "276.207" 16156 16155 16113 16113 15263 "50"
"179" "276.208" 15836 15835 15799 15799 14993 "50"
"180" "276.209" 39463 39456 39425 39425 37115 "50"
"181" "276.013" 47303 47302 47013 47013 40531 "60"
"182" "276.014" 70332 70329 69898 69898 57388 "60"
"183" "276.015" 79524 79521 79150 79150 69743 "60"
"184" "276.016" 97218 97211 96384 96384 83735 "60"
"185" "276.017" 67351 67343 66992 66992 57675 "60"
"186" "276.049" 27095 27095 26903 26903 26199 "60"
"187" "276.050" 41699 41699 41657 41657 40828 "60"
"188" "276.051" 93721 93719 93555 93555 90600 "60"
"189" "276.052" 20294 20294 20242 20242 20095 "60"
"190" "276.053" 53914 53912 53850 53850 52125 "60"
