"samplename" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"100" "100" "0" "0.00235485180673978" "0.00292326431181489" "0.0108505887129516" "0.0523700771416971" "0.258957572066585"
"110" "110" "0" "0.00194692964619769" "0.00235868239121595" "0.00937881252541684" "0.0487901586010574" "0.215982106547377"
"120" "120" "0.000307156752329285" "0.00225760212962012" "0.0025135660898945" "0.0076533224122044" "0.0442049759393878" "0.129364185522678"
"130" "130" "0" "0.00183206894772159" "0.00200753470609483" "0.0057748877535222" "0.0425556071631316" "0.126964958455901"
"140" "140" "0" "0.00172702532970481" "0.00243353569185678" "0.00454783336822273" "0.0387848021770986" "0.125481473728281"
"150" "150" "0" "0.00112520566848895" "0.00158165702457402" "0.00452205296958763" "0.0377793110769068" "0.126989013322011"
"160" "160" "0" "0.00111225095837153" "0.00150639814264886" "0.00359051887047135" "0.0378975217320879" "0.125025646563361"
"170" "170" "0" "0.00117264919621229" "0.00149196212288039" "0.00428870292887029" "0.0381083461792556" "0.13082470821405"
"180" "180" "0" "0.00113694502870787" "0.00141549656074125" "0.00388835199818083" "0.0365414132226707" "0.121243817861406"
"190" "190" "0" "0.00100175746924425" "0.00107205623901585" "0.00298769771528995" "0.0374926772114821" "0.130509666080844"
"200" "200" "0" "0.00103354487760654" "0.00109398609851918" "0.00270776669688733" "0.0347899667573285" "0.125046841946207"
"50" "50" "0" "0.00866687035339653" "0.0407577146348915" "0.0713718301252674" "0.171341277115796" "0.566921275078929"
"60" "60" "0" "0.00545906942025376" "0.0178203533217218" "0.0332221945757651" "0.170719084349341" "0.733510823587957"
"70" "70" "4.99101617090769e-06" "0.00369335196646037" "0.0223148333000599" "0.0287482531443402" "0.0781193851068077" "0.370902375723697"
"80" "80" "9.96661185026504e-06" "0.00270095181143171" "0.00803807245726817" "0.0118901679374097" "0.0551552299795685" "0.47651866248069"
"90" "90" "0" "0.0021716287215412" "0.00462847135351518" "0.00983737803352513" "0.0519639729797348" "0.323897923442582"
