"samplename" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"100" "100" "0" "0.00540020831664134" "0.00637769409502442" "0.0226103677589936" "0.08771733034212" "0.25602115215127"
"110" "110" "0" "0.0038137969713965" "0.00434260075314474" "0.0174825735117379" "0.0829100232353177" "0.258440830061694"
"120" "120" "0.000656998637929673" "0.00427850332505408" "0.00472718532168892" "0.0156878455251983" "0.0773976444195177" "0.205656598029004"
"130" "130" "0" "0.00371765082926045" "0.00407018668375925" "0.0116497075554843" "0.0714686323211281" "0.195561253104719"
"140" "140" "0" "0.00314077397644419" "0.00466308789359826" "0.00931015143017389" "0.0678311032769811" "0.193061453409182"
"150" "150" "0" "0.00197099591378891" "0.00299655476324012" "0.00897363993269773" "0.0680073712042304" "0.197404054162327"
"160" "160" "0" "0.00222738562615177" "0.00296450604919474" "0.00751542344363432" "0.0670298854258473" "0.191683358705232"
"170" "170" "0" "0.00238762919637847" "0.00301257912026276" "0.00858905536415355" "0.0665812034292124" "0.192292284272094"
"180" "180" "0" "0.00217931255508375" "0.00259594583767331" "0.00746735037256629" "0.0635846486659722" "0.186523515743931"
"190" "190" "0" "0.00189087412867561" "0.00200304462783429" "0.00576876852816288" "0.0643698421600833" "0.195705472317923"
"200" "200" "0" "0.00192292284272089" "0.00200304462783429" "0.00523996474641453" "0.058969633843442" "0.184055764762439"
"50" "50" "0" "0.0164730390193093" "0.0771092059931096" "0.11276340036856" "0.266244691931736" "0.710600112170499"
"60" "60" "0" "0.00972678471276345" "0.033619101033571" "0.0565980290040862" "0.165531608044227" "0.656405736719814"
"70" "70" "0" "0.0075474721576797" "0.025446678952007" "0.0367118019389472" "0.115583687204551" "0.342744972357984"
"80" "80" "3.20487140453851e-05" "0.00541623267366398" "0.0162006249499239" "0.0238762919637849" "0.092492588734877" "0.325518788558609"
"90" "90" "0" "0.00426247896803145" "0.00939027321528718" "0.0198061052800257" "0.0866116497075555" "0.306081243490105"
