"samplename" "richness" "simpson"
"Ines-Groeningen-C3-1" "100" "956" "242.5390"
"Ines-Groeningen-C3-3" "100" "665" "231.2857"
"Ines-Groeningen-E3-1" "100" "678" "249.0517"
"Ines-Groeningen-E3-4" "100" "445" "155.3479"
"Ines-Groeningen-F3-4" "100" "367" "115.1019"
"Ines-Groeningen-C3-1" "110" "1040" "278.1376"
"Ines-Groeningen-C3-3" "110" " 741" "264.0140"
"Ines-Groeningen-E3-1" "110" " 755" "274.1519"
"Ines-Groeningen-E3-4" "110" " 509" "166.0398"
"Ines-Groeningen-F3-4" "110" " 410" "128.8751"
"Ines-Groeningen-C3-1" "120" "1144" "287.6795"
"Ines-Groeningen-C3-3" "120" " 772" "265.1210"
"Ines-Groeningen-E3-1" "120" " 840" "289.3061"
"Ines-Groeningen-E3-4" "120" " 565" "189.5489"
"Ines-Groeningen-F3-4" "120" " 442" "145.2990"
"Ines-Groeningen-C3-1" "130" "1218" "310.3311"
"Ines-Groeningen-C3-3" "130" " 843" "284.0565"
"Ines-Groeningen-E3-1" "130" " 913" "297.3639"
"Ines-Groeningen-E3-4" "130" " 607" "197.5840"
"Ines-Groeningen-F3-4" "130" " 483" "150.8470"
"Ines-Groeningen-C3-1" "140" "1356" "362.7978"
"Ines-Groeningen-C3-3" "140" " 936" "321.8285"
"Ines-Groeningen-E3-1" "140" "1014" "345.7412"
"Ines-Groeningen-E3-4" "140" " 650" "214.9919"
"Ines-Groeningen-F3-4" "140" " 524" "161.5331"
"Ines-Groeningen-C3-1" "150" "1407" "379.0884"
"Ines-Groeningen-C3-3" "150" " 980" "335.7103"
"Ines-Groeningen-E3-1" "150" "1045" "361.0450"
"Ines-Groeningen-E3-4" "150" " 734" "235.1670"
"Ines-Groeningen-F3-4" "150" " 561" "180.6368"
"Ines-Groeningen-C3-1" "160" "1414" "383.7051"
"Ines-Groeningen-C3-3" "160" " 970" "331.1925"
"Ines-Groeningen-E3-1" "160" "1061" "363.8832"
"Ines-Groeningen-E3-4" "160" " 747" "247.0958"
"Ines-Groeningen-F3-4" "160" " 569" "181.8864"
"Ines-Groeningen-C3-1" "170" "1400" "378.0039"
"Ines-Groeningen-C3-3" "170" " 962" "324.4083"
"Ines-Groeningen-E3-1" "170" "1036" "353.4632"
"Ines-Groeningen-E3-4" "170" " 711" "237.4563"
"Ines-Groeningen-F3-4" "170" " 540" "173.4026"
"Ines-Groeningen-C3-1" "180" "1333" "365.4221"
"Ines-Groeningen-C3-3" "180" " 944" "319.1509"
"Ines-Groeningen-E3-1" "180" "1006" "348.9286"
"Ines-Groeningen-E3-4" "180" " 682" "228.5279"
"Ines-Groeningen-F3-4" "180" " 527" "170.8556"
"Ines-Groeningen-C3-1" "190" "1261" "355.6650"
"Ines-Groeningen-C3-3" "190" " 886" "308.0901"
"Ines-Groeningen-E3-1" "190" " 961" "346.7563"
"Ines-Groeningen-E3-4" "190" " 628" "209.9070"
"Ines-Groeningen-F3-4" "190" " 483" "164.1150"
"Ines-Groeningen-C3-1" "200" "1178" "357.2049"
"Ines-Groeningen-C3-3" "200" " 837" "305.4661"
"Ines-Groeningen-E3-1" "200" " 910" "339.0729"
"Ines-Groeningen-E3-4" "200" " 573" "208.5997"
"Ines-Groeningen-F3-4" "200" " 449" "158.6771"
"Ines-Groeningen-C3-1" "50" "161" "39.63096"
"Ines-Groeningen-C3-3" "50" "141" "43.45265"
"Ines-Groeningen-E3-1" "50" "142" "42.63189"
"Ines-Groeningen-E3-4" "50" " 44" "12.11994"
"Ines-Groeningen-F3-4" "50" " 45" "10.08055"
"Ines-Groeningen-C3-1" "60" "226" "52.49045"
"Ines-Groeningen-C3-3" "60" "192" "58.32243"
"Ines-Groeningen-E3-1" "60" "193" "60.82687"
"Ines-Groeningen-E3-4" "60" " 88" "27.71961"
"Ines-Groeningen-F3-4" "60" " 82" "23.22877"
"Ines-Groeningen-C3-1" "70" "312" "68.62183"
"Ines-Groeningen-C3-3" "70" "267" "78.70718"
"Ines-Groeningen-E3-1" "70" "258" "81.70301"
"Ines-Groeningen-E3-4" "70" "104" "31.40101"
"Ines-Groeningen-F3-4" "70" " 98" "25.88479"
"Ines-Groeningen-C3-1" "80" "506" "143.95054"
"Ines-Groeningen-C3-3" "80" "397" "146.97810"
"Ines-Groeningen-E3-1" "80" "403" "159.04223"
"Ines-Groeningen-E3-4" "80" "163" " 46.18137"
"Ines-Groeningen-F3-4" "80" "140" " 35.83948"
"Ines-Groeningen-C3-1" "90" "856" "218.1546"
"Ines-Groeningen-C3-3" "90" "598" "216.8497"
"Ines-Groeningen-E3-1" "90" "581" "225.3709"
"Ines-Groeningen-E3-4" "90" "255" " 98.0979"
"Ines-Groeningen-F3-4" "90" "221" " 78.0191"
