"samplename" "BrayR" "BrayP" "SorensenR" "SorensenP"
"1" "100" "0.239343731148868" "0.065" "0.136207392143217" "0.239"
"2" "110" "0.242322298061488" "0.065" "0.133483300888582" "0.253"
"3" "120" "0.241811955709128" "0.065" "0.134413902175399" "0.257"
"4" "130" "0.242409023453661" "0.065" "0.136538476187677" "0.248"
"5" "140" "0.231582058308755" "0.065" "0.135178298092176" "0.253"
"6" "150" "0.23171218723166" "0.065" "0.135517020215273" "0.253"
"7" "160" "0.22997462260806" "0.065" "0.13409955841064" "0.253"
"8" "170" "0.231184589093589" "0.065" "0.133154213468472" "0.253"
"9" "180" "0.230866615787013" "0.065" "0.132423681860018" "0.253"
"10" "190" "0.232181767944772" "0.065" "0.131619269429676" "0.253"
"11" "200" "0.229035412832875" "0.065" "0.130805761090959" "0.262"
"12" "50" "0.25066669635984" "0.065" "0.133042463971455" "0.259"
"13" "60" "0.244504884631891" "0.071" "0.132180134529449" "0.268"
"14" "70" "0.241199362878579" "0.082" "0.132457812906391" "0.264"
"15" "80" "0.237636044487463" "0.082" "0.13684396746017" "0.239"
"16" "90" "0.234044810231627" "0.065" "0.133662094650789" "0.277"
