"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "Non.chimeric.Reads" "forward.trim"
"1" "Ines-Groeningen-C3-1" 160428 160319 157784 157784 144210 "100"
"2" "Ines-Groeningen-C3-3" 76905 76835 75476 75476 71505 "100"
"3" "Ines-Groeningen-E3-1" 77315 77249 75825 75825 72379 "100"
"4" "Ines-Groeningen-E3-4" 84827 84684 83519 83519 65442 "100"
"5" "Ines-Groeningen-E5-1" 196518 196378 194449 194449 175426 "100"
"6" "Ines-Groeningen-E5-3" 51315 51276 50588 50588 48351 "100"
"7" "Ines-Groeningen-E6-3" 74564 74507 73214 73214 70041 "100"
"8" "Ines-Groeningen-E6-5" 101969 101855 100540 100540 83809 "100"
"9" "Ines-Groeningen-F3-4" 60874 60795 59923 59923 47760 "100"
"10" "Ines-Groeningen-F5-1" 51092 51062 50504 50504 47775 "100"
"11" "Ines-Groeningen-F5-3" 158699 158570 157131 157131 145808 "100"
"12" "Ines-Groeningen-F5-5" 85108 85044 84396 84396 75512 "100"
"13" "Ines-Groeningen-F6-1" 56042 55983 55394 55394 44222 "100"
"14" "Ines-Groeningen-F6-2" 47591 47515 47063 47063 40475 "100"
"15" "Ines-Groeningen-F6-3" 78710 78641 77677 77677 73468 "100"
"16" "Ines-Groeningen-C3-1" 160428 160094 157167 157167 143938 "110"
"17" "Ines-Groeningen-C3-3" 76905 76723 75096 75096 71249 "110"
"18" "Ines-Groeningen-E3-1" 77315 77138 75390 75390 72046 "110"
"19" "Ines-Groeningen-E3-4" 84827 84504 83487 83487 67682 "110"
"20" "Ines-Groeningen-E5-1" 196518 196087 193634 193634 174525 "110"
"21" "Ines-Groeningen-E5-3" 51315 51184 50363 50363 47949 "110"
"22" "Ines-Groeningen-E6-3" 74564 74389 73105 73105 69397 "110"
"23" "Ines-Groeningen-E6-5" 101969 101658 99857 99857 82803 "110"
"24" "Ines-Groeningen-F3-4" 60874 60674 59947 59947 49577 "110"
"25" "Ines-Groeningen-F5-1" 51092 50992 50237 50237 47360 "110"
"26" "Ines-Groeningen-F5-3" 158699 158326 156552 156552 145123 "110"
"27" "Ines-Groeningen-F5-5" 85108 84922 83994 83994 74592 "110"
