"samplename" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"100" "100" "0.000311976549413728" "0.0322948073701842" "0.0453685092127303" "0.187579564489112" "0.334064070351759" "0.64463986599665"
"110" "110" "0.000230152027027031" "0.0232622466216216" "0.0329286317567568" "0.095230152027027" "0.198572635135135" "0.550253378378378"
"120" "120" "0.000262040109042516" "0.0200333889816361" "0.0270936793389827" "0.0732465501574354" "0.180583673210625" "0.466708226791488"
"130" "130" "0.000320170757737381" "0.0155667022411953" "0.0231355389541089" "0.0647491995731057" "0.170495197438634" "0.46131696905016"
"140" "140" "0.000270436106629135" "0.0151466945435539" "0.0224234711269686" "0.0524759675476671" "0.142985705520078" "0.381174010862896"
"150" "150" "0.000258776650559955" "0.0134014244166075" "0.0210891519912062" "0.0463736918038793" "0.122541049304967" "0.365049121762429"
"160" "160" "0.000180081984692992" "0.0104518636115916" "0.0162452906191503" "0.0388716441959103" "0.1095964741843" "0.349676563277492"
"170" "170" "0.000197967214697892" "0.00964728036503226" "0.0135366118635475" "0.0308973708988194" "0.0996764926003718" "0.324704859853697"
"180" "180" "0.000112563010815858" "0.00775461263642152" "0.0118509274213282" "0.0279058385944306" "0.103866294719327" "0.309952038369305"
"190" "190" "0.00019518542615482" "0.00648115709924424" "0.0111981382313198" "0.0267328962514388" "0.100035033281618" "0.30591061508433"
"200" "200" "0.000158059751768413" "0.00563832819423205" "0.0103775296038142" "0.0255901329256601" "0.0967714352343689" "0.306651465291633"
"50" "50" "0.0021936440569631" "0.353148569529313" "0.691051568532202" "0.895630608749009" "0.968217728121085" "0.999299465650807"
"60" "60" "0.000310401113162606" "0.198699526370715" "0.547716143533756" "0.821053758261754" "0.920697867330283" "0.99849616012416"
"70" "70" "0.000205448181403112" "0.124643636179171" "0.375960026378532" "0.770943032516613" "0.904524932785472" "0.986711814538629"
"80" "80" "0.00031720444086214" "0.0788331036634513" "0.142214190998674" "0.610010140141962" "0.769075167052339" "0.962081069134968"
"90" "90" "0.000199865151223277" "0.0485070314005008" "0.0786794451936043" "0.343483914467347" "0.52469418223849" "0.855699768830668"
