"samplename" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"100" "100" "0.00041985411848422" "0.0474506315602206" "0.0642447962995908" "0.203515388720868" "0.366973848069738" "0.755445650240171"
"110" "110" "0.000426970289983952" "0.0331684753602561" "0.0468599893257428" "0.143305461661626" "0.283024372887387" "0.657434620174346"
"120" "120" "0.000405621775484755" "0.0297669453833838" "0.039893257427504" "0.108991282689913" "0.244824764276819" "0.581263120441203"
"130" "130" "0.000498132004981278" "0.0224871019391567" "0.0331542430172567" "0.0966020281088774" "0.220772104607721" "0.550222380359367"
"140" "140" "0.00041985411848422" "0.0211421455257071" "0.0308343711083437" "0.0740224159402242" "0.188720868172923" "0.489421811065647"
"150" "150" "0.000305995374488499" "0.0182173990393169" "0.0289628180039139" "0.0649991104785625" "0.172076143035047" "0.477445294431596"
"160" "160" "0.000249066002490639" "0.0137982565379826" "0.0217043230741861" "0.0538267212239815" "0.158832947874044" "0.462053015477673"
"170" "170" "0.000256182173990371" "0.0139619284824765" "0.0193417541362747" "0.04373599003736" "0.143696851094111" "0.43707525351361"
"180" "180" "0.000149439601494383" "0.00947874043764452" "0.0156128802704145" "0.0385483010140545" "0.138345490126312" "0.424315958014588"
"190" "190" "0.000348692403486894" "0.00866038071517528" "0.0153638142679239" "0.0368688845401174" "0.134317737057463" "0.416900907311866"
"200" "200" "0.000270414516989836" "0.00772104607721047" "0.0139761608254759" "0.0360149439601495" "0.138082191780822" "0.412695249955524"
"50" "50" "0.00389966198185376" "0.490147660558619" "0.562270058708415" "0.862636541540651" "0.959074897705035" "0.999103362391034"
"60" "60" "0.000498132004981389" "0.307005870841487" "0.407336772816225" "0.754356876000712" "0.896858210282868" "0.998299235011564"
"70" "70" "0.000362924746486359" "0.189439601494396" "0.296125244618395" "0.68586372531578" "0.87173100871731" "0.982515566625156"
"80" "80" "0.000583526062978179" "0.125756982743284" "0.1759971535314" "0.491955168119552" "0.697996797722825" "0.94852161537093"
"90" "90" "0.000348692403486894" "0.0746557552037004" "0.0963814267923857" "0.329578366838641" "0.519829211884006" "0.866792385696495"
