"samplename" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"100" "100" "16" "439" "590" "1188" "1738" "2596"
"110" "110" "21" "415" "550" "1078" "1696" "2730"
"120" "120" "21" "373" "543" "1029" "1670" "2806"
"130" "130" "26" "377" "563" "1070" "1796" "3025"
"140" "140" "16" "407" "591" "1072" "1851" "3206"
"150" "150" "26" "426" "633" "1143" "1947" "3411"
"160" "160" "23" "376" "558" "1022" "1839" "3367"
"170" "170" "25" "335" "493" "894" "1706" "3239"
"180" "180" "14" "281" "407" "776" "1609" "3096"
"190" "190" "15" "238" "359" "708" "1498" "2875"
"200" "200" "16" "221" "339" "677" "1433" "2748"
"50" "50" "20" "250" "282" "335" "349" "364"
"60" "60" "14" "295" "347" "467" "498" "544"
"70" "70" "10" "285" "373" "563" "623" "709"
"80" "80" "15" "325" "433" "790" "962" "1195"
"90" "90" "12" "388" "543" "1161" "1543" "2070"
