"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "forward.trim"
"1" "DRR070527.fastq.gz" 70166 67526 66630 66630 "100"
"2" "DRR070528.fastq.gz" 73058 70588 69610 69610 "100"
"3" "DRR070529.fastq.gz" 34232 33937 33478 33478 "100"
"4" "DRR070530.fastq.gz" 30997 30664 30101 30101 "100"
"5" "DRR070531.fastq.gz" 31273 30897 30390 30390 "100"
"6" "DRR070552.fastq.gz" 68057 65482 64594 64594 "100"
"7" "DRR070553.fastq.gz" 33466 33194 32719 32719 "100"
"8" "DRR070554.fastq.gz" 31718 31388 30831 30831 "100"
"9" "DRR070555.fastq.gz" 34193 33831 33148 33148 "100"
"10" "DRR070556.fastq.gz" 35693 35334 34800 34800 "100"
"11" "DRR070577.fastq.gz" 43681 43326 42889 42889 "100"
"12" "DRR070578.fastq.gz" 44605 44230 43728 43728 "100"
"13" "DRR070579.fastq.gz" 31237 30996 30609 30609 "100"
"14" "DRR070580.fastq.gz" 74736 72621 72024 72024 "100"
"15" "DRR070581.fastq.gz" 73470 71138 70617 70617 "100"
"16" "DRR070527.fastq.gz" 70166 67412 66468 66468 "110"
"17" "DRR070528.fastq.gz" 73058 70476 69397 69397 "110"
"18" "DRR070529.fastq.gz" 34232 33917 33415 33415 "110"
"19" "DRR070530.fastq.gz" 30997 30649 30134 30134 "110"
"20" "DRR070531.fastq.gz" 31273 30883 30423 30423 "110"
"21" "DRR070552.fastq.gz" 68057 65380 64381 64381 "110"
"22" "DRR070553.fastq.gz" 33466 33175 32720 32720 "110"
"23" "DRR070554.fastq.gz" 31718 31379 30831 30831 "110"
"24" "DRR070555.fastq.gz" 34193 33822 33073 33073 "110"
"25" "DRR070556.fastq.gz" 35693 35315 34668 34668 "110"
"26" "DRR070577.fastq.gz" 43681 43308 42861 42861 "110"
"27" "DRR070578.fastq.gz" 44605 44209 43713 43713 "110"
"28" "DRR070579.fastq.gz" 31237 30988 30580 30580 "110"
"29" "DRR070580.fastq.gz" 74736 72504 71950 71950 "110"
"30" "DRR070581.fastq.gz" 73470 70994 70459 70459 "110"
"31" "DRR070527.fastq.gz" 70166 67307 66225 66225 "120"
"32" "DRR070528.fastq.gz" 73058 70388 69209 69209 "120"
"33" "DRR070529.fastq.gz" 34232 33900 33313 33313 "120"
"34" "DRR070530.fastq.gz" 30997 30636 30014 30014 "120"
