"samplename" "richness" "simpson"
"DRR070527.fastq.gz" "100" "465" "100.9865"
"DRR070528.fastq.gz" "100" "541" "161.0312"
"DRR070529.fastq.gz" "100" "345" "116.4770"
"DRR070530.fastq.gz" "100" "356" "129.7466"
"DRR070531.fastq.gz" "100" "363" "101.6497"
"DRR070527.fastq.gz" "110" "490" "106.7795"
"DRR070528.fastq.gz" "110" "574" "165.7680"
"DRR070529.fastq.gz" "110" "363" "123.8477"
"DRR070530.fastq.gz" "110" "370" "133.4689"
"DRR070531.fastq.gz" "110" "387" "102.3875"
"DRR070527.fastq.gz" "120" "496" "101.5855"
"DRR070528.fastq.gz" "120" "604" "162.3238"
"DRR070529.fastq.gz" "120" "389" "121.2192"
"DRR070530.fastq.gz" "120" "379" "130.0777"
"DRR070531.fastq.gz" "120" "393" "103.3686"
"DRR070527.fastq.gz" "130" "526" "104.6809"
"DRR070528.fastq.gz" "130" "640" "171.0536"
"DRR070529.fastq.gz" "130" "404" "125.2060"
"DRR070530.fastq.gz" "130" "396" "137.0103"
"DRR070531.fastq.gz" "130" "417" "101.6794"
"DRR070527.fastq.gz" "140" "586" "109.6410"
"DRR070528.fastq.gz" "140" "665" "174.1977"
"DRR070529.fastq.gz" "140" "430" "128.6623"
"DRR070530.fastq.gz" "140" "413" "142.1768"
"DRR070531.fastq.gz" "140" "433" "105.7845"
"DRR070527.fastq.gz" "150" "639" "112.7833"
"DRR070528.fastq.gz" "150" "711" "180.1793"
"DRR070529.fastq.gz" "150" "446" "130.2199"
"DRR070530.fastq.gz" "150" "446" "148.6049"
"DRR070531.fastq.gz" "150" "457" "105.0859"
"DRR070527.fastq.gz" "160" "650" "113.2359"
"DRR070528.fastq.gz" "160" "723" "180.3580"
"DRR070529.fastq.gz" "160" "462" "127.9132"
"DRR070530.fastq.gz" "160" "458" "150.8168"
"DRR070531.fastq.gz" "160" "464" "105.3923"
"DRR070527.fastq.gz" "170" "668" "117.9189"
"DRR070528.fastq.gz" "170" "745" "199.7992"
"DRR070529.fastq.gz" "170" "465" "132.7917"
"DRR070530.fastq.gz" "170" "463" "168.1826"
"DRR070531.fastq.gz" "170" "473" "109.8746"
"DRR070527.fastq.gz" "180" "672" "119.8353"
"DRR070528.fastq.gz" "180" "752" "203.3153"
"DRR070529.fastq.gz" "180" "464" "136.3945"
"DRR070530.fastq.gz" "180" "466" "172.8396"
"DRR070531.fastq.gz" "180" "472" "111.2277"
"DRR070527.fastq.gz" "190" "672" "118.2722"
"DRR070528.fastq.gz" "190" "742" "200.4478"
"DRR070529.fastq.gz" "190" "464" "132.3087"
"DRR070530.fastq.gz" "190" "464" "171.1824"
"DRR070531.fastq.gz" "190" "469" "109.5515"
"DRR070527.fastq.gz" "200" "673" "116.9295"
"DRR070528.fastq.gz" "200" "753" "202.2737"
"DRR070529.fastq.gz" "200" "478" "133.6433"
"DRR070530.fastq.gz" "200" "469" "171.8447"
"DRR070531.fastq.gz" "200" "482" "110.7617"
"DRR070527.fastq.gz" "50" "148" "25.31048"
"DRR070528.fastq.gz" "50" "166" "44.36189"
"DRR070529.fastq.gz" "50" "135" "30.15565"
"DRR070530.fastq.gz" "50" "124" "36.05809"
"DRR070531.fastq.gz" "50" "135" "35.45995"
"DRR070527.fastq.gz" "60" "160" "25.90100"
"DRR070528.fastq.gz" "60" "174" "45.22309"
"DRR070529.fastq.gz" "60" "145" "30.71188"
"DRR070530.fastq.gz" "60" "130" "36.20004"
"DRR070531.fastq.gz" "60" "143" "36.24442"
"DRR070527.fastq.gz" "70" "212" "42.43499"
"DRR070528.fastq.gz" "70" "241" "76.56840"
"DRR070529.fastq.gz" "70" "186" "51.82630"
"DRR070530.fastq.gz" "70" "169" "64.32919"
"DRR070531.fastq.gz" "70" "188" "53.11852"
"DRR070527.fastq.gz" "80" "314" " 58.89355"
"DRR070528.fastq.gz" "80" "370" "109.37543"
"DRR070529.fastq.gz" "80" "261" " 71.91016"
"DRR070530.fastq.gz" "80" "255" " 89.64663"
"DRR070531.fastq.gz" "80" "272" " 63.99910"
"DRR070527.fastq.gz" "90" "408" " 78.86555"
"DRR070528.fastq.gz" "90" "487" "133.88258"
"DRR070529.fastq.gz" "90" "311" " 92.39047"
"DRR070530.fastq.gz" "90" "318" "112.16612"
"DRR070531.fastq.gz" "90" "332" " 77.40446"
