"samplename" "BrayR" "BrayP" "SorensenR" "SorensenP"
"1" "100" "0.257325253319926" "0.048" "0.124793918134536" "0.221"
"2" "110" "0.249567946913387" "0.048" "0.125349824459618" "0.227"
"3" "120" "0.257112120394632" "0.048" "0.123266036130603" "0.234"
"4" "130" "0.244958547067562" "0.058" "0.114498695025141" "0.314"
"5" "140" "0.249576689239271" "0.048" "0.112955855232976" "0.363"
"6" "150" "0.248923680137388" "0.048" "0.121597417900045" "0.253"
"7" "160" "0.24986011386826" "0.048" "0.11821698752454" "0.271"
"8" "170" "0.247591268118098" "0.048" "0.112598181481376" "0.366"
"9" "180" "0.246927547585146" "0.048" "0.109658114889453" "0.416"
"10" "190" "0.249307895817189" "0.048" "0.10753569208889" "0.436"
"11" "200" "0.245242155576548" "0.048" "0.10757246078639" "0.456"
"12" "50" "0.261181909707997" "0.058" "0.201323043393956" "0.074"
"13" "60" "0.258846740948166" "0.069" "0.176590154997056" "0.103"
"14" "70" "0.276643009288338" "0.058" "0.141044432960046" "0.212"
"15" "80" "0.277819097521012" "0.048" "0.119575208312676" "0.303"
"16" "90" "0.261452651956124" "0.048" "0.120764049422288" "0.261"
