"samplename" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"100" "100" "1017" "926" "6" "745" "611" "319"
"110" "110" "1092" "1002" "6" "838" "689" "380"
"120" "120" "1176" "1085" "6" "936" "782" "434"
"130" "130" "1291" "1209" "6" "1069" "912" "548"
"140" "140" "1488" "1398" "6" "1265" "1081" "707"
"150" "150" "1607" "1538" "6" "1397" "1201" "814"
"160" "160" "1700" "1622" "6" "1513" "1277" "889"
"170" "170" "1762" "1693" "6" "1589" "1350" "934"
"180" "180" "1778" "1714" "6" "1614" "1379" "958"
"190" "190" "1765" "1711" "6" "1613" "1375" "963"
"200" "200" "1821" "1767" "6" "1673" "1429" "1010"
"50" "50" "211" "121" "5" "40" "25" "4"
"60" "60" "232" "155" "6" "66" "39" "7"
"70" "70" "359" "274" "3" "135" "75" "17"
"80" "80" "602" "517" "3" "334" "217" "68"
"90" "90" "860" "772" "6" "604" "479" "229"
