"row.names" "Original.Reads" "Filtered.Reads" "Denoised.Reads" "tabled" "Non.chimeric.Reads" "forward.trim"
"1" "DRR070527.fastq.gz" 70166 67526 66630 66630 59557 "100"
"2" "DRR070528.fastq.gz" 73058 70588 69610 69610 61436 "100"
"3" "DRR070529.fastq.gz" 34232 33937 33478 33478 30525 "100"
"4" "DRR070530.fastq.gz" 30997 30664 30101 30101 26818 "100"
"5" "DRR070531.fastq.gz" 31273 30897 30390 30390 28553 "100"
"6" "DRR070552.fastq.gz" 68057 65482 64594 64594 58282 "100"
"7" "DRR070553.fastq.gz" 33466 33194 32719 32719 30778 "100"
"8" "DRR070554.fastq.gz" 31718 31388 30831 30831 28130 "100"
"9" "DRR070555.fastq.gz" 34193 33831 33148 33148 31303 "100"
"10" "DRR070556.fastq.gz" 35693 35334 34800 34800 31886 "100"
"11" "DRR070577.fastq.gz" 43681 43326 42889 42889 40573 "100"
"12" "DRR070578.fastq.gz" 44605 44230 43728 43728 41077 "100"
"13" "DRR070579.fastq.gz" 31237 30996 30609 30609 29323 "100"
"14" "DRR070580.fastq.gz" 74736 72621 72024 72024 68090 "100"
"15" "DRR070581.fastq.gz" 73470 71138 70617 70617 67090 "100"
"16" "DRR070527.fastq.gz" 70166 67412 66468 66468 60581 "110"
"17" "DRR070528.fastq.gz" 73058 70476 69397 69397 62288 "110"
"18" "DRR070529.fastq.gz" 34232 33917 33415 33415 31050 "110"
"19" "DRR070530.fastq.gz" 30997 30649 30134 30134 27093 "110"
"20" "DRR070531.fastq.gz" 31273 30883 30423 30423 28978 "110"
"21" "DRR070552.fastq.gz" 68057 65380 64381 64381 59014 "110"
"22" "DRR070553.fastq.gz" 33466 33175 32720 32720 31153 "110"
"23" "DRR070554.fastq.gz" 31718 31379 30831 30831 28813 "110"
"24" "DRR070555.fastq.gz" 34193 33822 33073 33073 31676 "110"
"25" "DRR070556.fastq.gz" 35693 35315 34668 34668 32298 "110"
"26" "DRR070577.fastq.gz" 43681 43308 42861 42861 41177 "110"
"27" "DRR070578.fastq.gz" 44605 44209 43713 43713 41640 "110"
"28" "DRR070579.fastq.gz" 31237 30988 30580 30580 29680 "110"
"29" "DRR070580.fastq.gz" 74736 72504 71950 71950 68881 "110"
"30" "DRR070581.fastq.gz" 73470 70994 70459 70459 67591 "110"
"31" "DRR070527.fastq.gz" 70166 67307 66225 66225 59332 "120"
"32" "DRR070528.fastq.gz" 73058 70388 69209 69209 61429 "120"
"33" "DRR070529.fastq.gz" 34232 33900 33313 33313 30566 "120"
"34" "DRR070530.fastq.gz" 30997 30636 30014 30014 26714 "120"
"35" "DRR070531.fastq.gz" 31273 30872 30326 30326 28628 "120"
"36" "DRR070552.fastq.gz" 68057 65294 64263 64263 58275 "120"
"37" "DRR070553.fastq.gz" 33466 33163 32707 32707 30864 "120"
"38" "DRR070554.fastq.gz" 31718 31365 30769 30769 28402 "120"
"39" "DRR070555.fastq.gz" 34193 33808 33092 33092 31427 "120"
"40" "DRR070556.fastq.gz" 35693 35303 34681 34681 32101 "120"
"41" "DRR070577.fastq.gz" 43681 43294 42757 42757 40839 "120"
"42" "DRR070578.fastq.gz" 44605 44187 43651 43651 41327 "120"
"43" "DRR070579.fastq.gz" 31237 30981 30544 30544 29448 "120"
"44" "DRR070580.fastq.gz" 74736 72431 71808 71808 68288 "120"
"45" "DRR070581.fastq.gz" 73470 70903 70355 70355 67247 "120"
"46" "DRR070527.fastq.gz" 70166 67197 65999 65999 60295 "130"
"47" "DRR070528.fastq.gz" 73058 70285 69162 69162 62745 "130"
"48" "DRR070529.fastq.gz" 34232 33879 33176 33176 31011 "130"
"49" "DRR070530.fastq.gz" 30997 30625 29897 29897 27062 "130"
"50" "DRR070531.fastq.gz" 31273 30860 30328 30328 29011 "130"
"51" "DRR070552.fastq.gz" 68057 65210 64193 64193 59228 "130"
"52" "DRR070553.fastq.gz" 33466 33149 32723 32723 31203 "130"
"53" "DRR070554.fastq.gz" 31718 31353 30733 30733 28675 "130"
"54" "DRR070555.fastq.gz" 34193 33792 32975 32975 31730 "130"
"55" "DRR070556.fastq.gz" 35693 35289 34818 34818 32716 "130"
"56" "DRR070577.fastq.gz" 43681 43274 42750 42750 40931 "130"
"57" "DRR070578.fastq.gz" 44605 44162 43659 43659 41545 "130"
"58" "DRR070579.fastq.gz" 31237 30966 30438 30438 29529 "130"
"59" "DRR070580.fastq.gz" 74736 72334 71659 71659 68489 "130"
"60" "DRR070581.fastq.gz" 73470 70793 70122 70122 67266 "130"
"61" "DRR070527.fastq.gz" 70166 67115 65662 65662 60351 "140"
"62" "DRR070528.fastq.gz" 73058 70184 68771 68771 62433 "140"
"63" "DRR070529.fastq.gz" 34232 33869 33037 33037 30830 "140"
"64" "DRR070530.fastq.gz" 30997 30610 29759 29759 26911 "140"
