"samplename" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"100" "100" "0.000909836676858844" "0.00544410470579459" "0.00900514579759859" "0.0924528301886792" "0.17688492803341" "0.428943247072861"
"110" "110" "0.000841545786734565" "0.0042926217104049" "0.00791717417783189" "0.0673827187834496" "0.142232310929022" "0.416583619385081"
"120" "120" "0.000965785730328683" "0.00477652167402864" "0.00801078086396645" "0.0542037882758104" "0.128456988844801" "0.382061840233585"
"130" "130" "0.000750129332643512" "0.00379498928386668" "0.00731283718867781" "0.0310583105461533" "0.0999963047816126" "0.35176631438918"
"140" "140" "0.000527665266991217" "0.0036936568689383" "0.00706402586303001" "0.0213630114079745" "0.0860726097135001" "0.287826539333358"
"150" "150" "0.000496880893660179" "0.00332583780647033" "0.00665167561294067" "0.0175359059915856" "0.0765486725663717" "0.274249238357754"
"160" "160" "0.000517568158623694" "0.00345895903192883" "0.00674661029304569" "0.0134385478932789" "0.0744824318413763" "0.241000874763085"
"170" "170" "0.000561241333773554" "0.00301162833351676" "0.00656248853673747" "0.0131506547815561" "0.0717765305748138" "0.245288140567111"
"180" "180" "0.000362555289681654" "0.00302733666884203" "0.00642810528605608" "0.0126785584801683" "0.0719708505547096" "0.25570662025959"
"190" "190" "0.000617799905512917" "0.00246393138786927" "0.00603990260566201" "0.0121997310753352" "0.0702874586619181" "0.220118472217175"
"200" "200" "0.000401371962344022" "0.00243742246223455" "0.00556082609647524" "0.0109501568999489" "0.0689921914909144" "0.211887907757425"
"50" "50" "0.000878779111818329" "0.0855019528424708" "0.123285838275712" "0.61967669607985" "0.717271806740923" "0.960617676840735"
"60" "60" "0.000867157327115065" "0.0498178240909422" "0.0630948043430737" "0.474160169059244" "0.617736646505866" "0.922411280332289"
"70" "70" "0.000380408939610111" "0.0142930733872246" "0.0395863052781741" "0.498177207164368" "0.63733158979236" "0.966210968457759"
"80" "80" "0.00073872802920949" "0.00996858283094171" "0.0151014689649317" "0.402369024369534" "0.539899804704084" "0.890099346183238"
"90" "90" "0.000723772571257997" "0.00586852708550967" "0.00918892702581708" "0.0992724966422922" "0.205536487091479" "0.490982689150873"
