"samplename" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"100" "100" "0.00113781098751808" "0.00729387789759706" "0.0120658911437548" "0.0976139933769211" "0.204457841555574" "0.48128555659336"
"110" "110" "0.00121423112847074" "0.00601171775494613" "0.0106223995924259" "0.071232062494693" "0.165593954317738" "0.468387535025898"
"120" "120" "0.00151991169228161" "0.00661458775579515" "0.0108771333956016" "0.0580623248705103" "0.148688120913645" "0.427910333701282"
"130" "130" "0.00108686422688287" "0.00494183578160823" "0.00928929268913981" "0.0325125244119895" "0.117525685658487" "0.39629786872718"
"140" "140" "0.000687781268574383" "0.00492485352806316" "0.00911947015368941" "0.0253714867962979" "0.105867368599813" "0.330194446803091"
"150" "150" "0.000653816761484238" "0.00427103676657892" "0.00822790184257449" "0.0194361891823045" "0.097189437038295" "0.315496306359854"
"160" "160" "0.000628343381166685" "0.0042795278933514" "0.00869491381506327" "0.015530270866944" "0.0956100874586058" "0.283077184342362"
"170" "170" "0.000636834507939166" "0.00393139169567802" "0.0082788486032096" "0.0148170162180521" "0.092689139848858" "0.288307718434236"
"180" "180" "0.000509467606351399" "0.00400781183663068" "0.00796467691262626" "0.0138829922730747" "0.0924938439330899" "0.300450029718944"
"190" "190" "0.00100195295915773" "0.00350683535705187" "0.00768446972913306" "0.0139933769211175" "0.0910503523817611" "0.260253035577821"
"200" "200" "0.000662307888256719" "0.00340494183578166" "0.00714103761569163" "0.0122526959327502" "0.0889020973083128" "0.251125074297359"
"50" "50" "0.00100195295915761" "0.101935976904135" "0.144366137386431" "0.599651863802326" "0.704466332682347" "0.957068863038125"
"60" "60" "0.00118875774815319" "0.058690668251677" "0.0733888086949138" "0.464702386006623" "0.627723528912287" "0.930746370043305"
"70" "70" "0.000492485352806327" "0.0180521355183832" "0.0467521440095101" "0.433514477371147" "0.602470917890804" "0.961356882058249"
"80" "80" "0.00106988197333791" "0.0122866604398404" "0.0187314256601852" "0.328266961025728" "0.492994820412669" "0.879842065042031"
"90" "90" "0.00106988197333791" "0.00776088987008572" "0.0118536129744418" "0.10649571198098" "0.236715632164388" "0.536044833149359"
