"samplename" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus"
"100" "100" "23" "114" "130" "295" "429" "721"
"110" "110" "21" "111" "126" "275" "424" "733"
"120" "120" "19" "110" "128" "259" "413" "761"
"130" "130" "20" "102" "127" "242" "399" "763"
"140" "140" "16" "106" "129" "239" "423" "797"
"150" "150" "17" "86" "123" "227" "423" "810"
"160" "160" "15" "93" "123" "202" "438" "826"
"170" "170" "16" "85" "114" "189" "428" "844"
"180" "180" "12" "76" "110" "176" "411" "832"
"190" "190" "18" "72" "100" "170" "408" "820"
"200" "200" "12" "66" "98" "160" "404" "823"
"50" "50" "17" "107" "118" "188" "203" "224"
"60" "60" "16" "93" "104" "182" "209" "241"
"70" "70" "10" "95" "117" "234" "294" "352"
"80" "80" "22" "107" "121" "290" "407" "556"
"90" "90" "17" "105" "123" "273" "398" "648"
